titulo,categoria,publico,situacao,estrategia,materiais,tempo,autor
Régua de leitura e texto ampliado,Leitura e escrita,Dislexia / dificuldade de leitura,"O aluno se perde nas linhas, pula palavras ou cansa rápido ao ler.","Ofereça uma régua ou tira de papel colorido para acompanhar a linha.
Use fonte sem serifa (Arial, Verdana), tamanho 14 ou maior e espaçamento 1,5.
Divida textos longos em blocos curtos, com uma pergunta ao final de cada bloco.
Permita que a compreensão seja avaliada também de forma oral.","Régua, tira de papel colorido, texto impresso ampliado",5 min de preparo,Fabiana Karina
Alfabeto móvel para formar palavras,Leitura e escrita,Alfabetização / dificuldade de escrita,O aluno não consegue registrar palavras no caderno e trava diante da folha em branco.,"Entregue letras móveis e peça que monte palavras a partir de uma figura.
Comece com palavras de sílabas simples (BO-LA, CA-SA) e avance aos poucos.
Depois de montar, o aluno copia a palavra para o caderno.
Comemore cada palavra formada: o objetivo é reduzir o medo de errar.","Alfabeto móvel (pode ser feito com tampinhas ou papelão), figuras",15 a 20 min,Fabiana Karina
Material concreto antes do papel,Matemática,Discalculia / dificuldade em matemática,O aluno não entende as operações quando elas aparecem só no papel.,"Apresente a operação primeiro com objetos (tampinhas, palitos, material dourado).
Em seguida, desenhe a mesma operação.
Só depois escreva a conta com números.
Deixe uma reta numérica colada na carteira como apoio permanente.","Tampinhas, palitos, material dourado, reta numérica",Durante a aula,Fabiana Karina
Funções ativas na sala,TDAH e atenção,TDAH / agitação,O aluno não consegue ficar sentado e se levanta o tempo todo durante a explicação.,"Dê ao aluno tarefas com movimento: distribuir material, apagar o quadro, levar recados.
Combine pausas curtas de movimento a cada 15 ou 20 minutos.
Posicione-o perto do professor e longe de portas e janelas.
Elogie o comportamento esperado assim que ele acontecer.",Nenhum,Imediato,Fabiana Karina
Instruções curtas com checklist,TDAH e atenção,TDAH / dificuldade de organização,"O aluno começa a atividade e não termina, ou esquece o que foi pedido.","Dê uma instrução por vez, olhando nos olhos do aluno.
Peça que ele repita com as próprias palavras o que precisa fazer.
Entregue um checklist com as etapas da atividade para ele ir marcando.
Divida atividades longas em partes menores, com entrega de cada parte.",Checklist impresso ou escrito no caderno,5 min de preparo,Fabiana Karina
Rotina visual com antecipação,TEA,Autismo (TEA),O aluno fica desorganizado ou entra em crise quando a rotina muda.,"Monte um quadro de rotina com imagens (pictogramas) das atividades do dia.
Revise a rotina com o aluno no início da aula.
Avise com antecedência qualquer mudança e mostre no quadro o que muda.
Use um marcador (seta ou prendedor) para indicar a atividade atual.","Pictogramas impressos, cartolina, velcro ou prendedores",30 min de preparo (uma vez),Fabiana Karina
Cantinho da calma,TEA,Autismo (TEA) / sobrecarga sensorial,"O aluno se incomoda com barulho e luz e reage com choro, gritos ou fuga.","Reserve um espaço tranquilo na sala com almofada e objetos de regulação.
Combine com o aluno um sinal (cartão ou gesto) para pedir para ir ao cantinho.
Ofereça abafador de ruído em momentos barulhentos.
O cantinho não é castigo: é um lugar para se reorganizar e voltar.","Almofada, bolinha de apertar, abafador de ruído, cartão de pedido",Montagem única,Fabiana Karina
Escolhas limitadas e combinados,Comportamento,TOD / comportamento opositor,"O aluno recusa as tarefas, desafia o professor e entra em confronto.","Ofereça duas opções aceitáveis em vez de uma ordem: ""Você prefere começar pela leitura ou pelo desenho?""
Construa os combinados da turma junto com os alunos e deixe-os visíveis.
Elogie comportamentos específicos (""Você terminou a primeira parte sozinho"").
Converse sobre o ocorrido em particular, depois que ele estiver calmo, nunca na frente da turma.",Cartaz de combinados,Contínuo,Fabiana Karina
Atividade adaptada no mesmo tema,Deficiência intelectual,Deficiência intelectual,O aluno não acompanha o conteúdo da turma e fica isolado com outra atividade.,"Mantenha o mesmo tema da turma, mas reduza a complexidade da tarefa.
Use muito apoio visual: imagens, cores e exemplos prontos.
Troque perguntas abertas por múltipla escolha, ligar ou completar.
Faça-o participar da correção coletiva junto com a turma.","Atividade impressa adaptada, imagens",20 min de preparo,Fabiana Karina
Desafios de aprofundamento,Altas habilidades,Altas habilidades / superdotação,"O aluno termina tudo muito rápido, fica entediado e atrapalha a aula.","Tenha uma caixa de desafios extras sobre o tema da aula.
Proponha pequenos projetos de pesquisa a partir do interesse dele.
Dê a ele o papel de monitor em atividades de grupo, com cuidado para não sobrecarregá-lo.
Valorize a qualidade e a criatividade, não só a velocidade.",Caixa com fichas de desafio,Preparo contínuo,Fabiana Karina
Coensino em estações,Ensino colaborativo,Toda a turma,"Há dois professores na sala, mas um fica só ""acompanhando"" o aluno com deficiência.","Planejem a aula juntos: professor regente e professor de educação especial.
Dividam a turma em estações de atividade; cada professor conduz uma estação.
Os grupos são mistos, então o aluno com deficiência não fica separado.
Reservem 10 minutos por semana para avaliar juntos o que funcionou.",Planejamento conjunto,10 min por semana de planejamento,Fabiana Karina
Avaliação em vários formatos,Ensino colaborativo,Toda a turma,A prova escrita não mostra o que o aluno realmente aprendeu.,"Ofereça outras formas de mostrar o que aprendeu: oral, desenho, maquete, apresentação.
Leia as questões em voz alta para quem tem dificuldade de leitura.
Aumente o tempo de prova ou divida-a em dois momentos.
Avalie o avanço do aluno em relação a ele mesmo, não só em relação à turma.",Varia conforme o formato,Planejamento da avaliação,Fabiana Karina
